_id,Month,HBT,TotalOperations,TotalCancelled,CancelledByPatientReason,ClinicalReason,NonClinicalCapacityReason,OtherReason
841,202001,S08000015,1704,261,60,72,118,11
842,202001,S08000016,403,20,12,4,4,0
843,202001,S08000017,1544,112,31,54,26,1
844,202001,S08000019,1086,90,37,40,13,0
845,202001,S08000020,3311,272,82,79,90,21
846,202001,S08000022,1202,191,47,37,106,1
847,202001,S08000024,4477,473,222,151,84,16
848,202001,S08000025,302,22,10,5,7,0
849,202001,S08000026,195,9,4,3,1,1
850,202001,S08000028,109,11,2,7,1,1
851,202001,S08000029,1394,117,24,56,37,0
852,202001,S08000030,2204,140,52,42,31,15
853,202001,S08000031,6673,658,223,249,126,60
854,202001,S08000032,2365,273,121,75,68,9
855,202001,SB0801,1894,101,32,41,28,0
856,202002,S08000015,1653,204,63,82,53,6
857,202002,S08000016,407,33,7,21,5,0
858,202002,S08000017,1498,125,28,59,31,7
859,202002,S08000019,1082,75,25,40,10,0
860,202002,S08000020,3158,247,78,70,80,19
861,202002,S08000022,1170,132,39,48,44,1
862,202002,S08000024,4078,491,211,141,130,9
863,202002,S08000025,306,17,13,2,2,0
864,202002,S08000026,190,19,8,11,0,0
865,202002,S08000028,99,9,0,7,2,0
866,202002,S08000029,1407,108,35,43,28,2
867,202002,S08000030,2020,126,40,41,35,10
868,202002,S08000031,6699,511,180,236,66,29
869,202002,S08000032,2159,268,139,81,39,9
870,202002,SB0801,1719,116,33,44,39,0
871,202003,S08000015,1229,262,42,135,63,22
872,202003,S08000016,262,55,11,3,41,0
873,202003,S08000017,1100,115,30,44,28,13
874,202003,S08000019,855,126,43,57,26,0
875,202003,S08000020,2455,327,108,82,124,13
876,202003,S08000022,749,255,28,22,205,0
877,202003,S08000024,3429,729,208,129,388,4
878,202003,S08000025,298,50,8,1,37,4
879,202003,S08000026,102,13,6,7,0,0
880,202003,S08000028,110,14,6,3,5,0
881,202003,S08000029,1054,118,39,21,58,0
882,202003,S08000030,1241,110,25,34,29,22
883,202003,S08000031,4759,585,182,225,147,31
884,202003,S08000032,1385,177,61,88,22,6
885,202003,SB0801,1164,83,21,39,23,0
886,202004,S08000015,168,27,2,19,6,0
887,202004,S08000016,40,5,0,0,5,0
888,202004,S08000017,187,8,3,5,0,0
889,202004,S08000019,147,32,8,24,0,0
890,202004,S08000020,450,58,15,18,17,8
891,202004,S08000022,107,1,0,0,1,0
892,202004,S08000024,1116,178,61,45,59,13
893,202004,S08000025,73,4,0,0,4,0
894,202004,S08000026,4,0,0,0,0,0
895,202004,S08000028,6,1,0,1,0,0
896,202004,S08000029,196,17,5,4,8,0
897,202004,S08000030,258,24,7,7,10,0
898,202004,S08000031,393,44,5,27,12,0
899,202004,S08000032,136,34,4,17,0,13
900,202004,SB0801,125,25,3,3,19,0
901,202005,S08000015,152,14,2,7,5,0
902,202005,S08000016,56,4,0,4,0,0
903,202005,S08000017,298,17,6,10,0,1
904,202005,S08000019,143,5,0,5,0,0
905,202005,S08000020,751,80,21,40,13,6
906,202005,S08000022,168,5,1,3,1,0
907,202005,S08000024,1154,117,38,56,19,4
908,202005,S08000025,124,5,0,0,5,0
909,202005,S08000026,14,0,0,0,0,0
910,202005,S08000028,6,0,0,0,0,0
911,202005,S08000029,158,5,0,4,1,0
912,202005,S08000030,247,10,6,4,0,0
913,202005,S08000031,502,27,3,18,6,0
914,202005,S08000032,143,12,3,5,0,4
915,202005,SB0801,204,10,2,5,3,0
916,202006,S08000015,356,15,5,8,1,1
917,202006,S08000016,57,1,0,1,0,0
918,202006,S08000017,652,41,15,23,2,1
919,202006,S08000019,309,34,6,24,4,0
920,202006,S08000020,1029,85,31,27,19,8
921,202006,S08000022,365,22,8,12,2,0
922,202006,S08000024,1597,118,31,66,14,7
923,202006,S08000025,183,5,2,0,3,0
924,202006,S08000026,69,1,0,1,0,0
925,202006,S08000028,12,2,0,1,1,0
926,202006,S08000029,260,21,2,16,3,0
927,202006,S08000030,406,13,3,7,0,3
928,202006,S08000031,1076,58,6,38,14,0
929,202006,S08000032,231,28,1,9,5,13
930,202006,SB0801,382,21,4,9,8,0
931,202007,S08000015,662,60,15,41,3,1
932,202007,S08000016,83,4,1,3,0,0
933,202007,S08000017,833,51,11,27,11,2
934,202007,S08000019,487,24,8,14,2,0
935,202007,S08000020,1168,102,27,37,31,7
936,202007,S08000022,700,72,28,29,15,0
937,202007,S08000024,2179,127,45,59,20,3
938,202007,S08000025,281,9,2,1,6,0
939,202007,S08000026,93,1,1,0,0,0
940,202007,S08000028,42,4,0,3,1,0
941,202007,S08000029,706,43,5,26,11,1
942,202007,S08000030,846,32,11,11,8,2
943,202007,S08000031,2008,97,16,59,22,0
944,202007,S08000032,370,30,6,13,1,10
945,202007,SB0801,766,43,9,22,12,0
946,202008,S08000015,875,53,9,33,11,0
947,202008,S08000016,77,5,3,0,2,0
948,202008,S08000017,904,51,12,31,7,1
949,202008,S08000019,483,35,6,27,2,0
950,202008,S08000020,1261,143,36,44,41,22
951,202008,S08000022,704,45,12,25,8,0
952,202008,S08000024,2478,219,97,93,19,10
953,202008,S08000025,279,10,4,3,3,0
954,202008,S08000026,98,2,0,2,0,0
955,202008,S08000028,50,2,0,1,1,0
956,202008,S08000029,854,39,10,23,6,0
957,202008,S08000030,1185,67,20,30,16,1
958,202008,S08000031,3014,221,61,112,27,21
959,202008,S08000032,830,47,15,21,3,8
960,202008,SB0801,739,48,13,23,12,0
961,202009,S08000015,902,69,12,47,9,1
962,202009,S08000016,133,7,0,0,7,0
963,202009,S08000017,1122,62,13,41,5,3
964,202009,S08000019,591,41,9,25,7,0
965,202009,S08000020,1451,107,26,40,24,17
966,202009,S08000022,879,106,37,42,27,0
967,202009,S08000024,2934,236,90,92,34,20
